test_year,run_id,bounded_pnl,all1_pnl,oracle_bars,selected_units,delta
2025,1816,-119.66999999999962,-39.88999999999987,0,3.0,-79.77999999999975
2025,1817,0.0,-77.58000000000038,1,0.0,77.58000000000038
2025,1818,87.95000000000027,28.71000000000049,2,4.0,59.23999999999978
2025,1819,-2.299999999999727,-18.399999999999636,1,2.0,16.09999999999991
2025,1820,141.60000000000082,24.630000000000564,2,6.0,116.97000000000025
2025,1821,0.0,-20.25,0,0.0,20.25
2025,1822,-54.29999999999973,-18.09999999999991,0,3.0,-36.19999999999982
2025,1823,-16.579999999999927,-65.29999999999973,1,1.0,48.7199999999998
2025,1824,-42.469999999999345,-23.98999999999978,1,5.0,-18.479999999999563
2025,1825,38.13000000000011,-0.5199999999995271,2,1.0,38.649999999999636
2025,1826,38.679999999999836,14.829999999999927,1,4.0,23.84999999999991
2025,1827,-13.550000000000182,-13.550000000000182,0,1.0,0.0
2025,1828,-91.83000000000038,-60.86000000000013,1,6.0,-30.970000000000255
2025,1829,-15.75,-33.29999999999973,0,1.0,17.549999999999727
2025,1830,-18.03999999999951,-33.25999999999976,1,5.0,15.220000000000255
2025,1831,-26.38000000000011,-26.38000000000011,0,1.0,0.0
